,h,test,loss
199,5,19,0.08349655568599701
200,5,20,0.041568294167518616
201,5,21,0.09663079679012299
202,5,22,0.09790424257516861
203,5,23,0.00031049648532643914
204,5,24,0.0007317493436858058
205,5,25,9.368119935970753e-05
206,5,26,0.03345422446727753
207,5,27,0.08353074640035629
208,5,28,0.0003697708889376372
209,5,29,0.061283648014068604
210,5,30,0.08334589004516602
211,5,31,0.000902117695659399
212,5,32,0.09771759808063507
213,5,33,0.000662044738419354
214,5,34,0.00035566696897149086
215,5,35,0.0834970772266388
216,5,36,0.08292664587497711
217,5,37,0.0005709687247872353
218,5,38,0.0015659901546314359
219,5,39,0.08327692002058029
220,5,40,0.08384955674409866
221,5,41,0.0004094109172001481
222,5,42,0.09745018184185028
223,5,43,0.08261378854513168
224,5,44,0.00047446766984649
225,5,45,0.0010360406013205647
226,5,46,0.0006287798169068992
227,5,47,0.0011800845386460423
228,5,48,0.0006447292398661375
229,5,49,0.0008164101745933294
230,5,50,0.08358936011791229
231,5,51,0.0007189976749941707
232,5,52,0.08928234875202179
233,5,53,0.09752154350280762
234,5,54,0.09685172140598297
235,5,55,0.09821976721286774
236,5,56,0.08351336419582367
237,5,57,0.09349715709686279
238,5,58,0.08328482508659363
239,5,59,0.09819842129945755
240,6,0,0.06075157970190048
241,6,1,0.001341074239462614
242,6,2,0.08394061774015427
243,6,3,0.0004165827122051269
244,6,4,0.0003401754656806588
245,6,5,0.0008250173414126039
246,6,6,0.0004784133634530008
247,6,7,0.0006629896233789623
248,6,8,0.0839473158121109
249,6,9,0.0979309231042862
250,6,10,0.09811335802078247
251,6,11,0.001104375347495079
252,6,12,0.09710642695426941
253,6,13,0.09690354764461517
254,6,14,0.024420568719506264
255,6,15,0.00035512811155058444
256,6,16,0.08313848078250885
257,6,17,0.0836494117975235
258,6,18,0.0003101174661424011
259,6,19,0.0007709466735832393
260,6,20,0.000883503642398864
261,6,21,0.0830814391374588
262,6,22,0.0011622169986367226
263,6,23,0.0010481630451977253
264,6,24,0.0008554353844374418
265,6,25,0.0006259247893467546
266,6,26,0.08246084302663803
267,6,27,0.09711417555809021
268,6,28,0.0006222196388989687
269,6,29,0.001463823951780796
270,6,30,0.0018826457671821117
271,6,31,0.00019758736016228795
272,6,32,0.0003533237613737583
273,6,33,0.0010650232434272766
274,6,34,0.00047790000098757446
275,6,35,0.08379372954368591
276,6,36,0.0834764763712883
277,6,37,0.0007889389526098967
278,6,38,0.0009861972648650408
279,6,39,0.0004654762160498649
280,6,40,0.0003507724031805992
281,6,41,0.0009395320666953921
282,6,42,0.0010931426659226418
283,6,43,0.0006609545671381056
284,6,44,0.08391512930393219
285,6,45,0.08285169303417206
286,6,46,0.0006043219473212957
287,6,47,0.0009226774564012885
288,6,48,0.0007392581319436431
289,6,49,0.0012072846293449402
290,6,50,0.08322277665138245
291,6,51,0.000732399697881192
292,6,52,0.0014151135692372918
293,6,53,0.0006965480861254036
294,6,54,0.09805656969547272
295,6,55,0.08368508517742157
296,6,56,0.0831112265586853
297,6,57,0.000367923203157261
298,6,58,0.0008389230933971703
299,6,59,0.00030465374584309757
300,7,0,0.09890854358673096
301,7,1,0.08247551321983337
302,7,2,0.00031804299214854836
303,7,3,0.001060302136465907
304,7,4,0.0021165041252970695
305,7,5,0.0007354620611295104
306,7,6,0.0010005186777561903
307,7,7,0.00017217813001479954
308,7,8,0.08370768278837204
309,7,9,0.0007595602655783296
310,7,10,0.0007004325743764639
311,7,11,0.08273342251777649
312,7,12,0.0006025135517120361
313,7,13,0.0007373142288997769
314,7,14,0.0004991966998204589
315,7,15,0.00032571557676419616
316,7,16,0.0006305510178208351
317,7,17,0.0006517376168631017
318,7,18,0.002041596919298172
319,7,19,0.0007243800791911781
320,7,20,0.08309254050254822
321,7,21,0.0007380646420642734
322,7,22,0.0008051079348661005
323,7,23,0.0007068500271998346
324,7,24,0.0016201450489461422
325,7,25,0.0008110223570838571
326,7,26,0.00039003652636893094
327,7,27,0.08305971324443817
328,7,28,0.08390018343925476
329,7,29,0.08357581496238708
330,7,30,0.004625378176569939
331,7,31,0.0830438882112503
332,7,32,0.0010311704827472568
333,7,33,0.082930788397789
334,7,34,0.0007695777458138764
335,7,35,0.0011888149892911315
336,7,36,0.0979241207242012
337,7,37,0.0005953803774900734
338,7,38,0.062359683215618134
339,7,39,0.0007127816206775606
340,7,40,0.08404109627008438
341,7,41,0.08358664810657501
342,7,42,0.0003934061387553811
343,7,43,0.0007654242217540741
344,7,44,0.0014465332496911287
345,7,45,0.08362337946891785
346,7,46,0.0010581612586975098
347,7,47,0.004285681061446667
348,7,48,0.08296972513198853
349,7,49,0.08315037935972214
350,7,50,0.0008654363919049501
351,7,51,0.0004160074458923191
352,7,52,0.08309397101402283
353,7,53,0.0005266990046948195
354,7,54,0.05530858784914017
355,7,55,0.0832943543791771
356,7,56,0.08308698982000351
357,7,57,0.0008273864514194429
358,7,58,0.08259134739637375
359,7,59,0.0005979718407616019
360,8,0,0.08291952311992645
361,8,1,0.0006199188064783812
362,8,2,0.08271065354347229
363,8,3,0.0008798414492048323
364,8,4,0.001237859483808279
365,8,5,0.000746612437069416
366,8,6,0.0009598761098459363
367,8,7,0.0006078957812860608
368,8,8,0.002251802710816264
369,8,9,0.001032402040436864
370,8,10,0.0011888382723554969
371,8,11,0.0003157456230837852
372,8,12,0.08339264988899231
373,8,13,0.0007054173620417714
374,8,14,0.000338302314048633
375,8,15,0.0015074831899255514
376,8,16,0.0010154582560062408
377,8,17,0.0011042390251532197
378,8,18,0.00031002788455225527
379,8,19,0.0008296661544591188
380,8,20,0.0006804610602557659
381,8,21,0.0003432739758864045
382,8,22,0.001414494588971138
383,8,23,0.0010405797511339188
384,8,24,0.0007653111824765801
385,8,25,0.000633420015219599
386,8,26,0.0009749135933816433
387,8,27,0.00026039284421131015
388,8,28,0.00014585888129658997
389,8,29,0.0005184683250263333
390,8,30,0.0010226763552054763
391,8,31,0.08277374505996704
392,8,32,0.0004840797046199441
393,8,33,0.0008518888498656452
394,8,34,0.0010968015994876623
395,8,35,0.09262509644031525
396,8,36,0.0009981191251426935
397,8,37,0.0003820170823018998
398,8,38,0.08245371282100677
399,8,39,0.0006187352119013667
400,8,40,0.000594282173551619
401,8,41,0.0012044125469401479
402,8,42,0.08400837332010269
403,8,43,0.0978187695145607
404,8,44,0.08323149383068085
405,8,45,0.0007857593009248376
406,8,46,0.0015993649140000343
407,8,47,0.08408714085817337
408,8,48,0.0009310155874118209
409,8,49,0.08327741920948029
410,8,50,0.0006976865697652102
411,8,51,0.0009057603892870247
412,8,52,0.00041356647852808237
413,8,53,0.0004583853587973863
414,8,54,0.0006521783652715385
415,8,55,0.0009211365832015872
416,8,56,0.0005924105644226074
417,8,57,0.0006951008108444512
418,8,58,0.0007842060294933617
419,8,59,0.000245292583713308
420,9,0,0.08416865766048431
421,9,1,0.00021977750293444842
422,9,2,0.0009378835093230009
423,9,3,0.00041969362064264715
424,9,4,0.009885169565677643
425,9,5,0.000569594674743712
426,9,6,0.00041761400643736124
427,9,7,0.0007805299828760326
428,9,8,0.0005073715001344681
429,9,9,0.0008688476518727839
430,9,10,0.0006507663056254387
431,9,11,0.0011893039336428046
432,9,12,0.0005737998289987445
433,9,13,0.0005490860203281045
434,9,14,0.08310754597187042
435,9,15,0.08343540132045746
436,9,16,0.0007795898709446192
437,9,17,0.08324427902698517
438,9,18,0.00036615633871406317
439,9,19,0.0007982501410879195
440,9,20,0.09673348814249039
441,9,21,0.0013385002966970205
442,9,22,0.000581782718654722
443,9,23,0.0008679956081323326
444,9,24,0.0013233646750450134
445,9,25,0.09754852205514908
446,9,26,0.00809557270258665
447,9,27,0.0008966336026787758
448,9,28,0.0008200466400012374
449,9,29,0.09717365354299545
450,9,30,0.0011344600934535265
451,9,31,0.00042511706124059856
452,9,32,0.0005561640718951821
453,9,33,0.00046477775322273374
454,9,34,0.08349867910146713
455,9,35,0.0003025436890311539
456,9,36,0.08334136009216309
457,9,37,0.0010816944995895028
458,9,38,0.0006225568940863013
459,9,39,0.0010116839548572898
460,9,40,0.0004587738076224923
461,9,41,0.000752747873775661
462,9,42,0.0002932226925622672
463,9,43,0.0005359617061913013
464,9,44,0.08415689319372177
465,9,45,0.0011388134444132447
466,9,46,0.0006064196350052953
467,9,47,0.08289574086666107
468,9,48,0.0016811415553092957
469,9,49,0.0008134343661367893
470,9,50,0.0007201166008599102
471,9,51,0.001094932435080409
472,9,52,0.0009772984776645899
473,9,53,0.0014594303211197257
474,9,54,0.08296926319599152
475,9,55,0.0009914733236655593
476,9,56,0.08333572745323181
477,9,57,0.0006468606879934669
478,9,58,0.0005532885552383959
479,9,59,0.000640526763163507
480,10,0,0.0010227919556200504
481,10,1,0.0007316799601539969
482,10,2,0.0003615857567638159
483,10,3,0.0006809115875512362
484,10,4,0.0006809785263612866
485,10,5,0.0008164166356436908
486,10,6,0.0026507957372814417
487,10,7,0.00040278484812006354
488,10,8,0.0005620900774374604
489,10,9,0.08322973549365997
490,10,10,0.0008955220691859722
491,10,11,0.0005814059404656291
492,10,12,0.08317527174949646
493,10,13,0.0007824012427590787
494,10,14,0.0005395738407969475
495,10,15,0.0005241720355115831
496,10,16,0.0009461476001888514
497,10,17,0.0008082085405476391
498,10,18,0.0005147025804035366
499,10,19,0.0004089620488230139
500,10,20,0.0013762327143922448
501,10,21,0.08279325813055038
502,10,22,0.0006298722582869232
503,10,23,0.001131865894421935
504,10,24,0.0005285264924168587
505,10,25,0.0014910887693986297
506,10,26,0.000640618265606463
507,10,27,0.0005923390854150057
508,10,28,0.0011323640355840325
509,10,29,0.0003471811069175601
510,10,30,0.08276136964559555
511,10,31,0.001368632074445486
512,10,32,0.08275647461414337
513,10,33,0.0006679933285340667
514,10,34,0.0009309008019044995
515,10,35,0.0009206929244101048
516,10,36,0.08306093513965607
517,10,37,0.0004737174022011459
518,10,38,0.0010061325738206506
519,10,39,0.00034845052869059145
520,10,40,0.0010912962025031447
521,10,41,0.0005449737072922289
522,10,42,0.0007435865700244904
523,10,43,0.0007958452915772796
524,10,44,0.0007247886387631297
525,10,45,0.0008256707806140184
526,10,46,0.0011188231874257326
527,10,47,0.0008853388717398047
528,10,48,0.0005200209561735392
529,10,49,0.0011176199186593294
530,10,50,0.000914622622076422
531,10,51,0.001257097814232111
532,10,52,0.0003164163208566606
533,10,53,0.0005139060085639358
534,10,54,0.0012160767801105976
535,10,55,0.001123752910643816
536,10,56,0.0006964415078982711
537,10,57,0.0005212633404880762
538,10,58,0.0009497039718553424
539,10,59,0.08346952497959137
